""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"2407"	-0.07968643	0.3046039	7
"2408"	0.01146433	0.2862129	7
"2409"	0.02691804	0.2704992	7
"2410"	0.02084649	0.2180504	7
"2411"	-0.01478407	0.2230734	7
"2414"	-0.01027721	0.285251	7
"2415"	-0.02595988	0.2825149	7
"2416"	-0.03461393	0.2753054	7
"2417"	0.0714023	0.316	7
"2418"	0.02136834	0.3162705	7
"2419"	0.09208886	0.2350723	7
"2420"	0.07787699	0.2646599	7
"2421"	0.1400801	0.2329858	7
"2423"	0.02495207	0.3228277	7
"2426"	-0.02368523	0.3105496	7
"2427"	0.0925732	0.2781787	7
"2428"	0.09980787	0.2868084	7
"2430"	0.03890593	0.3218333	7
"2431"	0.02686704	0.2722941	7
"2432"	0.004228481	0.2668287	7
"2433"	0.0524365	0.2206075	7
"2436"	0.0333268	0.2913639	7
"2437"	0.05507991	0.2766802	7
"2438"	0.06090398	0.3316721	7
"2440"	0.06741164	0.2321137	7
"2441"	0.08066588	0.2462471	7
"2442"	0.05267772	0.2187245	7
"2443"	0.05384678	0.3400579	7
"2444"	0.05248637	0.282672	7
"2445"	0.05221545	0.2920628	7
"2446"	0.03130981	0.2811455	7
"2448"	0.06352203	0.2841858	7
"2449"	0.03809187	0.284577	7
"2450"	0.06807659	0.2989927	7
"2451"	0.04966548	0.30845	7
"2453"	0.07723691	0.2407721	7
"2454"	0.07235008	0.2954225	7
"2455"	0.03188556	0.3078996	7
"2456"	0.03275516	0.2912688	7
"2457"	-0.04826161	0.3061226	7
"2458"	-0.05135751	0.3251111	7
"2460"	0.05364591	0.2994766	7
"2461"	-0.002926582	0.309772	7
"2462"	0.01686206	0.274916	7
"2464"	-0.007698264	0.2655527	7
"2470"	0.03379289	0.261839	7
"2472"	0.04436756	0.3284364	7
"2473"	0.0511978	0.3117291	7
"2474"	0.03265762	0.223897	7
"2476"	0.00715007	0.3058607	7
"2477"	-0.04569605	0.2667028	7
"2478"	0.03579067	0.3017028	7
"2479"	0.02891224	0.2967916	7
