""	"mean_Exp_ATOM11"	"mean_Exp_ATOM12"	"mean_Exp_ATOM14"	"mean_Exp_ATOM40"	"mean_Exp_ATOM46"	"mean_Exp_ATOM69"
"Tb927.10.10960;Tb927.10.10950;Tb927.10.10940;Tb927.10.10920;Tb927.10.10900;Tb927.10.10890;Tb11.v5.0543;Tb927.10.10910;Tb927.10.10980;Tb927.10.10970;Tb927.10.10930"	0.227322176568964	0.0784173151658151	0.252958111244297	0.119160201913179	0.0191345094613576	0.223780536737129
"Tb927.10.11030"	-1	-0.300996716803334	-0.178243265322377	-0.808733444391318	-0.0214050992467601	0.0645721112957863
"Tb927.10.7060"	0.148558909585116	-0.0217810037462612	0.0911757811476171	-0.00085680188613544	-0.0245564470169456	0.205697401478982
"Tb927.11.11460"	-0.471275062291932	-0.181512990044924	-0.106076584947934	-0.523794968756537	-0.029046501943297	-1
"Tb927.11.260"	0.134100831987365	-0.00733647500008055	0.145334503271396	-0.131906949152606	0.0908175354500901	0.0501818902035338
"Tb927.11.4130"	0.190208504391344	-0.0532073418799901	0.21521172206641	-0.046743955763816	0.204582645980887	0.571219240768837
"Tb927.11.7780"	-0.570810459930246	-0.0225533857150232	0.0150033057727266	-0.703604098755436	-1	0.0996818285969414
"Tb927.3.3590"	0.134620657066562	-0.0964458228807984	0.0233943113044324	-0.0493481849087105	0.0461382085631322	0.245150683840219
"Tb927.6.3650"	0.211538289869904	-0.0619737709631672	0.0596500645329518	-0.0648164522441455	-0.0861786013605716	0.167539772548274
"Tb927.8.4820;Tb11.v5.0659"	0.13446641127988	0.0632026696946924	0.0904321069664968	-0.0820755718039805	-0.0588668383199616	0.332612475024396
"Tb927.8.750"	0.172164563112877	-0.0687161276641429	0.106883672983624	0.0431344112208579	0.0277842831374376	0.26366088067935
"Tb927.9.7080"	0.122032949186419	-0.0646902632246459	0.10048453815759	-0.0697180248894586	0.0547408356484975	0.250206269011201
"Tb927.4.3080;Tb11.v5.0963"	-0.220872351848216	-0.492066139441047	-0.522415081690658	-0.566320212394749	-0.058296974189664	-0.100688064888055
"Tb927.11.5600"	-0.0589641050431906	-0.459958687480809	-1	-0.915612279005331	-0.0097510363232372	0.085822894851685
"Tb927.5.2150"	-0.403875352581403	-0.436941489258815	-0.504801935047023	-0.441741969648259	-0.0964933227483482	-0.196171697626475
"Tb927.7.5160"	-0.218233200017286	-0.41088127298631	-0.422313016204968	-0.498729883520121	-0.103885705934336	-0.285560700551117
"Tb927.7.6410"	-0.3573706116102	-0.396592146010894	-0.273888100269862	-0.431941483801317	-0.169759920384751	-0.0992044939228042
"Tb927.8.4380"	0.0167951942311178	-1	0.0101886738146893	-0.230597438548281	0.0328445470375782	0.0842020996245678
"Tb927.9.7980"	0.0841638035039441	0.172973075502498	0.311758066084211	0.322926760258089	0.00486426454461083	0.189231689454283
"Tb927.6.3500"	0.150590115395162	0.080458815935501	0.434654502730566	-0.386361925805107	0.015552499222669	0.431722425796261
"Tb927.10.4130"	-0.393827545728756	-0.371135510461821	-0.762497906606644	-0.728727554761956	-0.196401413610196	-0.109906899601217
