""	"TP_MT"	"MTP_MB"	"MT_MB"	"clusters"
"Q8CGP0"	-0.094441	0.5782244	0.2921529	8
"O88844"	-0.007881815	0.4709823	0.5321493	8
"E9PYJ9"	0.06278271	0.5272008	0.5144033	8
"Q9D967"	-0.07988809	0.4502816	0.4663825	8
"Q9ERE7"	0.01200486	0.5286351	0.5575373	8
"Q64449"	-0.08907499	0.5528203	0.5271419	8
"A2A6Q8"	-0.02953094	0.6354817	0.4912533	8
"E9Q405"	0.06342482	0.556941	0.487219	8
"A0A0A6YY47"	-0.02004782	0.4403453	0.4324332	8
"P52503"	0.007527322	0.504481	0.4154743	8
"Q8CFB8"	-0.01409696	0.4921302	0.4970211	8
"O70209"	-0.1322604	0.5286885	0.6535549	8
"Q9DAK9"	0.05356406	0.5694098	0.4940792	8
"P63328-2"	0.05271401	0.5157062	0.5216855	8
"Q4FJQ7"	0.01055977	0.5050901	0.5372845	8
"Q8BXC0"	-0.006902926	0.5115514	0.4856192	8
"Q6ZWR0"	-0.06323735	0.3779207	0.5465947	8
"Q5FWA0"	-0.05214077	0.4353465	0.4834722	8
"P50543"	-0.1063089	0.4657807	0.5063874	8
"A0A0A0MQ90"	-0.000466621	0.4891438	0.5091951	8
"O35114"	-0.003421488	0.5388402	0.5103273	8
"Q3UGN9"	-0.004957765	0.5127349	0.5010433	8
"Q791P0"	0.02050529	0.5231482	0.5069169	8
"Q91V76"	-0.06795628	0.451421	0.5105537	8
